from,to, exports ,exports.log
11,60,"1,497",3.1752218
11,50,78,1.892094603
11,37,305,2.484299839
11,38,107,2.029383778
11,39,"13,790",4.139564266
11,41,485,2.685741739
11,46,589,2.770115295
11,40,"1,287",3.109578547
11,42,"7,921",3.898780013
11,47,185,2.267171728
12,0,"2,781",3.444200989
12,1,"2,378",3.37621185
12,43,127,2.103803721
12,2,"9,132",3.960565903
12,3,"2,561",3.408409578
12,4,"4,861",3.686725621
12,54,7,0.84509804
12,55,2,0.301029996
12,57,14,1.146128036
12,5,"3,154",3.498861689
12,6,"5,862",3.768045814
12,7,"6,255",3.796227314
12,8,451,2.654176542
12,9,"2,967",3.472317546
12,10,"39,936",4.601364564
12,11,"2,267",3.35545152
12,13,186,2.269512944
12,52,40,1.602059991
12,14,"1,544",3.188647296
12,15,"57,475",4.75947898
12,16,"22,917",4.360157765
12,17,"2,164",3.335257256
12,61,"1,665",3.221414238
12,18,364,2.561101384
12,19,"1,583",3.199480915
12,20,634,2.802089258
12,21,"1,568",3.195346058
12,22,"2,297",3.361160995
12,23,"24,726",4.393153865
12,24,"4,177",3.620864475
12,48,225,2.352182518
12,56,18,1.255272505
12,25,"3,462",3.539327064
12,53,11,1.041392685
12,26,553,2.742725131
12,27,748,2.873901598
12,28,240,2.380211242
12,44,542,2.733999287
12,58,10,1
12,29,"6,507",3.813380807
12,30,186,2.269512944
12,49,35,1.544068044
12,31,"8,814",3.945173046
12,32,"2,496",3.397244581
12,59,10,1
12,51,238,2.376576957
12,45,552,2.741939078
12,33,"6,562",3.817036226
12,34,"26,842",4.428814872
12,35,"2,002",3.301464073
12,36,"4,628",3.66539335
12,60,"1,788",3.252367514
12,50,84,1.924279286
12,37,992,2.996511672
12,38,789,2.897077003
12,39,"3,108",3.49248101
12,41,"3,391",3.53032779
12,46,994,2.997386384
12,40,"8,687",3.938869822
12,42,"19,083",4.28064665
12,47,422,2.625312451
13,0,149,2.173186268
13,1,89,1.949390007
13,43,2,0.301029996
13,2,246,2.390935107
13,3,37,1.568201724
13,4,32,1.505149978
13,54,2,0.301029996
13,55,1,0
13,57,2,0.301029996
13,5,68,1.832508913
13,6,232,2.365487985
13,7,182,2.260071388
13,8,48,1.681241237
13,9,57,1.755874856
13,10,886,2.947433722
13,11,410,2.612783857
13,12,231,2.36361198
13,52,0,#NUM!
13,14,"2,379",3.376394442
13,15,273,2.436162647
13,16,466,2.668385917
13,17,22,1.342422681
13,61,5,0.698970004
13,18,6,0.77815125
13,19,51,1.707570176
13,20,2,0.301029996
13,21,63,1.799340549
13,22,66,1.819543936
13,23,146,2.164352856
13,24,134,2.127104798
13,48,40,1.602059991
13,56,3,0.477121255
13,25,116,2.064457989
13,53,1,0
13,26,634,2.802089258
13,27,66,1.819543936
13,28,"1,133",3.05422991
13,44,21,1.322219295
13,58,6,0.77815125
13,29,71,1.851258349
13,30,22,1.342422681
13,49,5,0.698970004
13,31,276,2.440909082
13,32,"1,100",3.041392685
13,59,1,0
13,51,22,1.342422681
13,45,21,1.322219295
13,33,295,2.469822016
13,34,30,1.477121255
13,35,26,1.414973348
13,36,"1,487",3.172310969
13,60,70,1.84509804
13,50,2,0.301029996
13,37,38,1.579783597
13,38,14,1.146128036
13,39,"2,845",3.454082271
13,41,9,0.954242509
13,46,224,2.350248018
13,40,60,1.77815125
13,42,436,2.639486489
13,47,24,1.380211242
52,0,431,2.63447727
52,1,2,0.301029996
52,43,2,0.301029996
52,2,3,0.477121255
52,3,1,0
52,4,1,0
52,54,3,0.477121255
52,55,1,0
52,57,2,0.301029996
52,5,3,0.477121255
52,6,1,0
52,7,27,1.431363764
52,8,1,0
52,9,2,0.301029996
52,10,13,1.113943352
52,11,2,0.301029996
52,12,2,0.301029996
52,13,1,0
52,14,1,0
52,15,2,0.301029996
52,16,269,2.42975228
52,17,1,0
52,61,12,1.079181246
52,18,1,0
52,19,1,0
52,20,11,1.041392685
52,21,5,0.698970004
52,22,1,0
52,23,2,0.301029996
52,24,82,1.913813852
52,48,14,1.146128036
52,56,1,0
52,25,22,1.342422681
52,53,1,0
52,26,2,0.301029996
52,27,1,0
52,28,2,0.301029996
52,44,9,0.954242509
52,58,7,0.84509804
52,29,2,0.301029996
52,30,1,0
52,49,1,0
52,31,2,0.301029996
52,32,1,0
52,59,0,#NUM!
52,51,2,0.301029996
52,45,12,1.079181246
52,33,2,0.301029996
52,34,5,0.698970004
52,35,2,0.301029996
52,36,3,0.477121255
52,60,4,0.602059991
52,50,2,0.301029996
52,37,1,0
52,38,2,0.301029996
52,39,1,0
52,41,9,0.954242509
52,46,59,1.770852012
52,40,2,0.301029996
52,42,124,2.093421685
52,47,5,0.698970004
14,0,833,2.920645001
14,1,581,2.764176132
14,43,277,2.442479769
14,2,"2,087",3.319522449
14,3,71,1.851258349
14,4,572,2.757396029
14,54,3,0.477121255
14,55,4,0.602059991
14,57,3,0.477121255
14,5,"1,388",3.142389466
14,6,"1,356",3.13225969
14,7,"4,609",3.663606708
14,8,51,1.707570176
14,9,421,2.624282096
14,10,"10,222",4.009535877
14,11,"1,538",3.186956335
14,12,"1,405",3.147676324
14,13,"1,760",3.245512668
14,52,1,0
14,15,"2,493",3.396722279
14,16,"3,644",3.561578368
14,17,170,2.230448921
14,61,213,2.328379603
14,18,54,1.73239376
14,19,325,2.511883361
14,20,701,2.845718018
14,21,592,2.772321707
14,22,"1,386",3.14176323
14,23,"1,960",3.292256071
14,24,"1,817",3.259354927
14,48,212,2.326335861
14,56,10,1
14,25,"2,079",3.317854489
14,53,2,0.301029996
14,26,468,2.670245853
14,27,116,2.064457989
14,28,569,2.755112266
14,44,145,2.161368002
14,58,4,0.602059991
14,29,527,2.721810615
14,30,13,1.113943352
14,49,14,1.146128036
14,31,"3,729",3.571592383
14,32,"2,892",3.461198289
14,59,7,0.84509804
14,51,83,1.919078092
14,45,255,2.40654018
14,33,"2,261",3.354300562
14,34,169,2.227886705
14,35,207,2.315970345
14,36,"4,531",3.656194062
14,60,838,2.923244019
14,50,12,1.079181246
14,37,157,2.195899652
14,38,63,1.799340549
14,39,"9,712",3.987308674
14,41,199,2.298853076
14,46,386,2.586587305
14,40,"1,278",3.106530854
14,42,"7,199",3.857272174
14,47,126,2.100370545
15,0,"4,384",3.641870545
15,1,"3,822",3.582290683
15,43,179,2.252853031
15,2,"35,460",4.549738731
15,3,"1,044",3.018700499
15,4,"6,907",3.839289456
15,54,25,1.397940009
15,55,1,0
15,57,75,1.875061263
15,5,"6,759",3.829882446
15,6,"16,658",4.221622858
15,7,"27,796",4.443982303
15,8,454,2.657055853
15,9,"5,381",3.730862992
15,10,"88,969",4.949238709
15,11,"4,432",3.646599752
15,12,"48,093",4.682081869
15,13,316,2.499687083
15,52,51,1.707570176
15,14,"2,452",3.389520466
15,16,"53,336",4.727020442
15,17,"1,929",3.285332228
15,61,"2,664",3.42553422
15,18,513,2.710117365
15,19,"4,085",3.611192061
15,20,"2,663",3.425371166
15,21,"6,749",3.829239428
15,22,"5,945",3.774151859
15,23,"41,047",4.613281421
15,24,"10,469",4.0199052
15,48,532,2.725911632
15,56,32,1.505149978
15,25,"10,805",4.033624771
15,53,52,1.716003344
15,26,600,2.77815125
15,27,"6,903",3.839037873
15,28,326,2.5132176
15,44,"2,351",3.371252629
15,58,14,1.146128036
15,29,"4,121",3.615002615
15,30,332,2.521138084
15,49,57,1.755874856
15,31,"21,962",4.341671887
15,32,"5,724",3.757699625
15,59,30,1.477121255
15,51,453,2.656098202
15,45,"3,408",3.532499586
15,33,"10,764",4.031973689
15,34,"6,148",3.788733859
15,35,"4,262",3.629613445
15,36,"8,474",3.92808846
15,60,"6,210",3.7930916
15,50,213,2.328379603
15,37,"3,321",3.521268876
15,38,970,2.986771734
15,39,"7,346",3.866050924
15,41,"2,409",3.3818368
15,46,"1,702",3.230959556
15,40,"8,922",3.950462219
15,42,"46,717",4.669474946
15,47,958,2.981365509
16,0,"8,573",3.933132824
16,1,"2,494",3.396896449
16,43,281,2.44870632
16,2,"20,448",4.310650836
16,3,707,2.849419414
16,4,"4,245",3.627877695
16,54,175,2.243038049
16,55,12,1.079181246
16,57,42,1.62324929
16,5,"16,256",4.211013691
16,6,"18,786",4.273834318
16,7,"25,242",4.402123762
16,8,"1,033",3.014100322
16,9,"3,188",3.503518313
16,10,"50,462",4.702964459
16,11,"7,199",3.857272174
16,12,"12,634",4.101540873
16,13,438,2.641474111
16,52,12,1.079181246
16,14,"3,595",3.555698895
16,15,"43,831",4.641781379
16,17,"1,669",3.222456337
16,61,"9,889",3.995152377
16,18,516,2.712649702
16,19,"1,975",3.2955671
16,20,922,2.964730921
16,21,"7,042",3.847696021
16,22,"34,954",4.543496882
16,23,"19,020",4.279210513
16,24,"9,404",3.97331262
16,48,735,2.866287339
16,56,26,1.414973348
16,25,"9,770",3.989894564
16,53,27,1.431363764
16,26,524,2.719331287
16,27,"23,871",4.377870613
16,28,456,2.658964843
16,44,"1,654",3.218535505
16,58,51,1.707570176
16,29,"2,800",3.447158031
16,30,"1,799",3.255031163
16,49,54,1.73239376
16,31,"21,449",4.331407049
16,32,"11,824",4.072764421
16,59,50,1.698970004
16,51,877,2.942999593
16,45,613,2.787460475
16,33,"7,481",3.873959655
16,34,"2,751",3.43949059
16,35,"1,691",3.228143608
16,36,"10,565",4.023869501
16,60,"10,075",4.003245055
16,50,358,2.553883027
16,37,829,2.918554531
16,38,417,2.620136055
16,39,"10,511",4.021644036
16,41,"2,121",3.326540669
16,46,"2,841",3.453471234
16,40,"5,748",3.759516759
16,42,"81,270",4.90993026
16,47,610,2.785329835
17,0,71,1.851258349
17,1,99,1.995635195
17,43,12,1.079181246
17,2,334,2.523746467
17,3,"1,178",3.07114529
17,4,28,1.447158031
17,54,1,0
17,55,0,#NUM!
17,57,1,0
17,5,74,1.86923172
17,6,207,2.315970345
17,7,338,2.5289167
17,8,917,2.962369336
17,9,95,1.977723605
17,10,"1,336",3.125806458
17,11,102,2.008600172
17,12,564,2.751279104
17,13,14,1.146128036
17,52,0,#NUM!
17,14,70,1.84509804
17,15,460,2.662757832
17,16,"1,232",3.090610708
17,61,15,1.176091259
17,18,65,1.812913357
17,19,51,1.707570176
17,20,80,1.903089987
17,21,204,2.309630167
17,22,35,1.544068044
17,23,"2,310",3.36361198
17,24,154,2.187520721
17,48,34,1.531478917
17,56,4,0.602059991
17,25,562,2.749736316
17,53,0,#NUM!
17,26,23,1.361727836
17,27,44,1.643452676
17,28,6,0.77815125
17,44,13,1.113943352
17,58,3,0.477121255
17,29,69,1.838849091
17,30,40,1.602059991
17,49,4,0.602059991
17,31,254,2.404833717
17,32,42,1.62324929
17,59,1,0
17,51,16,1.204119983
17,45,18,1.255272505
17,33,225,2.352182518
17,34,57,1.755874856
17,35,495,2.694605199
17,36,131,2.117271296
17,60,"1,350",3.130333768
17,50,5,0.698970004
17,37,43,1.633468456
17,38,78,1.892094603
17,39,153,2.184691431
17,41,169,2.227886705
17,46,186,2.269512944
17,40,"8,250",3.916453949
17,42,717,2.855519156
17,47,16,1.204119983
61,0,960,2.982271233
61,1,71,1.851258349
61,43,"1,857",3.268811904
61,2,173,2.238046103
61,3,8,0.903089987
61,4,168,2.225309282
61,54,13,1.113943352
61,55,6,0.77815125
61,57,50,1.698970004
61,5,"1,021",3.009025742
61,6,244,2.387389826
61,7,"11,884",4.074962643
61,8,16,1.204119983
61,9,26,1.414973348
61,10,"1,424",3.153509989
61,11,304,2.482873584
61,12,283,2.451786436
61,13,12,1.079181246
61,52,36,1.556302501
61,14,151,2.178976947
61,15,625,2.795880017
61,16,"2,884",3.459995256
61,17,69,1.838849091
61,18,3,0.477121255
61,19,180,2.255272505
61,20,772,2.8876173
61,21,"1,890",3.276461804
61,22,115,2.06069784
61,23,734,2.86569606
61,24,"1,727",3.237292338
61,48,206,2.31386722
61,56,13,1.113943352
61,25,"1,527",3.183839037
61,53,75,1.875061263
61,26,12,1.079181246
61,27,502,2.700703717
61,28,6,0.77815125
61,44,"1,081",3.033825694
61,58,20,1.301029996
61,29,105,2.021189299
61,30,15,1.176091259
61,49,67,1.826074803
61,31,319,2.503790683
61,32,74,1.86923172
61,59,292,2.465382851
61,51,"1,101",3.041787319
61,45,633,2.80140371
61,33,81,1.908485019
61,34,56,1.748188027
61,35,8,0.903089987
61,36,465,2.667452953
61,60,"3,670",3.564666064
61,50,715,2.854306042
61,37,7,0.84509804
61,38,4,0.602059991
61,39,581,2.764176132
61,41,"1,155",3.062581984
61,46,943,2.974511693
61,40,20,1.301029996
61,42,"7,309",3.863857962
61,47,403,2.605305046
18,0,53,1.72427587
18,1,"1,044",3.018700499
18,43,13,1.113943352
18,2,740,2.86923172
18,3,122,2.086359831
18,4,15,1.176091259
18,54,1,0
18,55,0,#NUM!
18,57,1,0
18,5,99,1.995635195
18,6,280,2.447158031
18,7,139,2.1430148
18,8,16,1.204119983
18,9,269,2.42975228
18,10,"2,009",3.302979937
18,11,174,2.240549248
18,12,246,2.390935107
18,13,7,0.84509804
18,52,0,#NUM!
18,14,40,1.602059991
18,15,448,2.651278014
18,16,548,2.738780558
18,17,161,2.206825876
18,61,3,0.477121255
18,19,603,2.780317312
18,20,30,1.477121255
18,21,19,1.278753601
18,22,63,1.799340549
18,23,"2,322",3.365862215
18,24,79,1.897627091
18,48,31,1.491361694
18,56,2,0.301029996
18,25,22,1.342422681
18,53,0,#NUM!
18,26,16,1.204119983
18,27,59,1.770852012
18,28,16,1.204119983
18,44,11,1.041392685
18,58,3,0.477121255
18,29,41,1.612783857
18,30,30,1.477121255
18,49,2,0.301029996
18,31,231,2.36361198
18,32,217,2.336459734
18,59,0,#NUM!
18,51,5,0.698970004
18,45,13,1.113943352
18,33,303,2.481442629
18,34,53,1.72427587
18,35,181,2.257678575
18,36,165,2.217483944
18,60,71,1.851258349
18,50,2,0.301029996
18,37,262,2.418301291
18,38,"1,591",3.20167018
18,39,302,2.480006943
18,41,8,0.903089987
18,46,73,1.86332286
18,40,142,2.152288344
18,42,693,2.840733235
18,47,19,1.278753601
19,0,446,2.649334859
19,1,"4,939",3.693639026
19,43,7,0.84509804
19,2,"1,968",3.294025094
19,3,"1,111",3.045714059
19,4,387,2.587710965
19,54,2,0.301029996
19,55,1,0
19,57,1,0
19,5,489,2.689308859
19,6,"1,510",3.178976947
19,7,"2,543",3.40534636
19,8,57,1.755874856
19,9,"4,206",3.623869268
19,10,"30,849",4.489241091
19,11,"1,010",3.004321374
19,12,"3,120",3.494154594
19,13,230,2.361727836
19,52,0,#NUM!
19,14,553,2.742725131
19,15,"5,155",3.71222867
19,16,"4,574",3.66029616
19,17,292,2.465382851
19,61,87,1.939519253
19,18,"1,271",3.104145551
19,20,55,1.740362689
19,21,220,2.342422681
19,22,782,2.893206753
19,23,"5,875",3.769007871
19,24,897,2.952792443
19,48,143,2.155336037
19,56,15,1.176091259
19,25,723,2.859138297
19,53,1,0
19,26,247,2.392696953
19,27,379,2.57863921
19,28,180,2.255272505
19,44,96,1.982271233
19,58,5,0.698970004
19,29,930,2.968482949
19,30,12,1.079181246
19,49,13,1.113943352
19,31,"2,692",3.430075056
19,32,493,2.692846919
19,59,3,0.477121255
19,51,51,1.707570176
19,45,38,1.579783597
19,33,"4,834",3.684306646
19,34,337,2.527629901
19,35,"6,941",3.841422044
19,36,"1,535",3.18610838
19,60,764,2.883093359
19,50,8,0.903089987
19,37,"4,621",3.664735969
19,38,960,2.982271233
19,39,"1,573",3.196728723
19,41,159,2.201397124
19,46,249,2.396199347
19,40,"1,858",3.26904571
19,42,"5,363",3.729407797
19,47,103,2.012837225
20,0,"7,118",3.852357984
20,1,125,2.096910013
20,43,"1,855",3.268343914
20,2,828,2.918030337
20,3,74,1.86923172
20,4,"2,974",3.473340964
20,54,127,2.103803721
20,55,7,0.84509804
20,57,361,2.557507202
20,5,"1,832",3.262925469
20,6,198,2.29666519
20,7,"23,404",4.369290089
20,8,15,1.176091259
20,9,167,2.222716471
20,10,"4,557",3.658679029
20,11,337,2.527629901
20,12,"2,423",3.384353414
20,13,84,1.924279286
20,52,22,1.342422681
20,14,186,2.269512944
20,15,"1,955",3.291146762
20,16,"2,294",3.360593414
20,17,142,2.152288344
20,61,557,2.745855195
20,18,27,1.431363764
20,19,142,2.152288344
20,21,"8,839",3.946403134
20,22,208,2.318063335
20,23,"2,601",3.415140352
20,24,"27,378",4.437401719
20,48,43,1.633468456
20,56,4,0.602059991
20,25,"11,808",4.072176344
20,53,217,2.336459734
20,26,35,1.544068044
20,27,17,1.230448921
20,28,35,1.544068044
20,44,"5,842",3.766561553
20,58,39,1.591064607
20,29,"1,704",3.23146959
20,30,6,0.77815125
20,49,14,1.146128036
20,31,"4,124",3.615318657
20,32,203,2.307496038
20,59,258,2.411619706
20,51,"1,973",3.295127085
20,45,"4,364",3.639884742
20,33,687,2.836956737
20,34,192,2.283301229
20,35,125,2.096910013
20,36,861,2.935003151
20,60,"8,279",3.917977883
20,50,659,2.818885415
20,37,45,1.653212514
20,38,94,1.973127854
20,39,223,2.348304863
20,41,"7,486",3.874249823
20,46,"5,360",3.72916479
20,40,"2,297",3.361160995
20,42,"22,348",4.349238663
20,47,"3,019",3.479863113
21,0,"2,791",3.445759836
21,1,495,2.694605199
21,43,"5,090",3.706717782
21,2,"2,974",3.473340964
21,3,174,2.240549248
21,4,"6,840",3.835056102
21,54,29,1.462397998
21,55,752,2.876217841
21,57,139,2.1430148
21,5,"2,618",3.417969642
21,6,"1,120",3.049218023
21,7,"18,154",4.258972331
21,8,149,2.173186268
21,9,512,2.709269961
21,10,"8,572",3.933082162
21,11,"1,137",3.055760465
21,12,"3,098",3.491081413
21,13,60,1.77815125
21,52,38,1.579783597
21,14,"1,084",3.035029282
21,15,"6,864",3.836577275
21,16,"12,732",4.10489663
21,17,291,2.463892989
21,61,"7,622",3.882068944
21,18,145,2.161368002
21,19,294,2.46834733
21,20,"4,153",3.618361931
21,22,440,2.643452676
21,23,"4,468",3.650113164
21,24,"5,712",3.756788199
21,48,295,2.469822016
21,56,43,1.633468456
21,25,"5,244",3.719662683
21,53,97,1.986771734
21,26,70,1.84509804
21,27,18,1.255272505
21,28,55,1.740362689
21,44,"2,075",3.317018101
21,58,167,2.222716471
21,29,"3,921",3.593396842
21,30,63,1.799340549
21,49,16,1.204119983
21,31,"3,848",3.585235063
21,32,602,2.779596491
21,59,"5,037",3.702171951
21,51,"1,879",3.27392678
21,45,"1,174",3.069668097
21,33,"1,339",3.126780577
21,34,570,2.755874856
21,35,261,2.416640507
21,36,"1,714",3.234010818
21,60,"19,364",4.286995074
21,50,"4,198",3.623042434
21,37,157,2.195899652
21,38,147,2.167317335
21,39,"1,516",3.180699201
21,41,"3,194",3.504334912
21,46,"2,205",3.343408594
21,40,"7,727",3.888010912
21,42,"38,035",4.580183421
21,47,"3,098",3.491081413
22,0,"2,622",3.418632687
22,1,"1,359",3.133219457
22,43,21,1.322219295
22,2,"9,734",3.988291342
22,3,244,2.387389826
22,4,"1,708",3.232487866
22,54,7,0.84509804
22,55,3,0.477121255
22,57,7,0.84509804
22,5,"3,424",3.534533756
22,6,"14,777",4.169586273
22,7,"7,777",3.890812099
22,8,73,1.86332286
22,9,"1,373",3.137670537
22,10,"21,110",4.324488233
22,11,"3,197",3.504742636
22,12,"6,893",3.838408278
22,13,88,1.944482672
22,52,1,0
22,14,"1,537",3.186673867
22,15,"13,845",4.14129296
22,16,"44,126",4.644694561
22,17,640,2.806179974
22,61,838,2.923244019
22,18,122,2.086359831
22,19,"1,062",3.026124517
22,20,172,2.235528447
22,21,798,2.902002891
22,23,"9,553",3.980139778
22,24,"3,338",3.523486332
22,48,277,2.442479769
22,56,6,0.77815125
22,25,"2,633",3.420450859
22,53,3,0.477121255
22,26,101,2.004321374
22,27,"5,252",3.720324717
22,28,220,2.342422681
22,44,364,2.561101384
22,58,22,1.342422681
22,29,"2,293",3.360404055
22,30,166,2.220108088
22,49,7,0.84509804
22,31,"10,914",4.037983949
22,32,"2,290",3.359835482
22,59,8,0.903089987
22,51,107,2.029383778
22,45,605,2.781755375
22,33,"3,262",3.513483957
22,34,"1,415",3.15075644
22,35,684,2.835056102
22,36,"2,006",3.302330929
22,60,"1,664",3.221153322
22,50,16,1.204119983
22,37,232,2.365487985
22,38,121,2.08278537
22,39,"5,242",3.719497017
22,41,723,2.859138297
22,46,483,2.683947131
22,40,699,2.844477176
22,42,"41,492",4.617964369
22,47,252,2.401400541
23,0,"5,131",3.710202015
23,1,"7,600",3.880813592
23,43,391,2.592176757
23,2,"9,677",3.985740741
23,3,"1,878",3.273695588
23,4,"5,718",3.757244151
23,54,81,1.908485019
23,55,12,1.079181246
23,57,29,1.462397998
23,5,"5,770",3.761175813
23,6,"21,181",4.32594646
23,7,"15,766",4.197721522
23,8,584,2.766412847
23,9,"5,608",3.748808005
23,10,"67,597",4.829927422
23,11,"3,773",3.576686805
23,12,"23,062",4.362896968
23,13,426,2.629409599
23,52,8,0.903089987
23,14,"2,162",3.33485569
23,15,"55,070",4.740915076
23,16,"28,575",4.455986239
23,17,"3,443",3.536937023
23,61,"1,968",3.294025094
23,18,"2,691",3.429913698
23,19,"4,213",3.624591459
23,20,"1,589",3.201123897
23,21,"3,714",3.569841899
23,22,"3,625",3.559308011
23,24,"7,081",3.850094594
23,48,329,2.517195898
23,56,31,1.491361694
23,25,"6,555",3.816572696
23,53,19,1.278753601
23,26,815,2.911157609
23,27,"2,588",3.412964272
23,28,446,2.649334859
23,44,"1,048",3.020361283
23,58,32,1.505149978
23,29,"5,564",3.745387121
23,30,973,2.98811284
23,49,44,1.643452676
23,31,"8,787",3.943840626
23,32,"2,640",3.421603927
23,59,34,1.531478917
23,51,563,2.750508395
23,45,463,2.665580991
23,33,"13,378",4.126391192
23,34,"3,341",3.523876476
23,35,"7,198",3.857211842
23,36,"10,094",4.0040633
23,60,"3,074",3.487703863
23,50,302,2.480006943
23,37,"2,853",3.455301772
23,38,"3,456",3.538573734
23,39,"5,053",3.703549298
23,41,"1,410",3.149219113
23,46,"1,482",3.170848204
23,40,"12,495",4.09673626
23,42,"40,713",4.609733105
23,47,"1,121",3.049605613
24,0,"15,879",4.200823149
24,1,994,2.997386384
24,43,"1,306",3.115943177
24,2,"4,054",3.607883744
24,3,85,1.929418926
24,4,"4,699",3.672005445
24,54,168,2.225309282
24,55,55,1.740362689
24,57,259,2.413299764
24,5,"11,592",4.064158372
24,6,"2,670",3.426511261
24,7,"128,263",5.108101394
24,8,216,2.334453751
24,9,"1,570",3.195899652
24,10,"20,426",4.310183328
24,11,527,2.721810615
24,12,"2,917",3.464936429
24,13,125,2.096910013
24,52,104,2.017033339
24,14,567,2.753583059
24,15,"7,205",3.857633985
24,16,"9,572",3.98100269
24,17,188,2.274157849
24,61,"10,053",4.002295683
24,18,31,1.491361694
24,19,"1,211",3.083144143
24,20,"16,656",4.221570712
24,21,"8,673",3.938169346
24,22,"2,997",3.476686743
24,23,"3,045",3.483587297
24,48,411,2.613841822
24,56,96,1.982271233
24,25,"62,279",4.794341631
24,53,238,2.376576957
24,26,36,1.556302501
24,27,352,2.546542663
24,28,27,1.431363764
24,44,"13,247",4.122117536
24,58,53,1.72427587
24,29,"17,170",4.234770295
24,30,45,1.653212514
24,49,385,2.58546073
24,31,"8,374",3.922932957
24,32,"1,746",3.242044239
24,59,97,1.986771734
24,51,"2,205",3.343408594
24,45,"7,742",3.888853167
24,33,"2,234",3.349083169
24,34,353,2.547774705
24,35,263,2.419955748
24,36,"11,667",4.066959198
